"Jabatan","Perusahaan","Alamat","Gaji","Kategori"
"Administration Staff","PT Indonesia Weda Bay Industrial Park","Jakarta Selatan, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Network Engineer","PT Integrasi Logistik Cipta Solusi","Jakarta Utara, Jakarta Raya","Rp 7,000,000 – Rp 10,500,000 per month","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Assisten Operational","PT Cyber Smart Network Asia","Tangerang, Banten","Rp 4,000,000 – Rp 5,500,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Front End Developer (Web)","PT Star Cosmos","Jakarta Barat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"System Integrator Specialist","PT Matahari Putra Prima Tbk (Hypermart, Foodmart, BOSTON, Hyfresh)","Tangerang, Banten","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"ERP TECHNOLOGY SPECIALIST","PT Mega Central Finance","Jakarta Barat, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Operation Staff Mandarin Speaker","PT DIGITAL TECHNOLOGY ADVERTISING INDONESIA","Jakarta Utara, Jakarta Raya","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Integration Analyst","PT Jasa Kelola Asia","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"SEKRETARIS","PT. APPSKU APLIKASI INDONESIA","Cibinong, Jawa Barat","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"DevOps Engineer","PT Nomura Research Institute Indonesia","Jakarta Pusat, Jakarta Raya","Rp 13,333,333 – Rp 20,000,000 per month","subClassification: Teknik – Perangkat LunakTeknik – Perangkat Lunakclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Support / Operator Karawang","PT. Kopetri Citra Abadi","Karawang, Jawa Barat","Rp 5.000.000 – Rp 6.000.000 per month","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Sr. System Analyst","PT Daya5 Rekrutmen","Jakarta Selatan, Jakarta Raya","","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"QA Engineer (Manual)","Beleaf Farms","Jakarta Pusat, Jakarta Raya","","subClassification: Uji Coba & Penjaminan MutuUji Coba & Penjaminan Mutuclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Security Engineer","PT Nera Indonesia","Jakarta Pusat, Jakarta Raya","","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Lead Devloper. net","PT Neo Fusion Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Manager's Assistant ( Mandarin Speaker)","","Jakarta Utara, Jakarta Raya","Rp 8,000,000 – Rp 12,000,000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Programmer","ESQ Group","Jakarta Barat, Jakarta Raya","Rp 5,500,000 – Rp 7,500,000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Dot Net Developer","PT Uniktif Media Indonesia","Jakarta Barat, Jakarta Raya","Rp 8,000,000 – Rp 12,000,000 per month","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Presales","PT Phincon","Jakarta Selatan, Jakarta Raya","","subClassification: Penjualan – Pra & PascaPenjualan – Pra & Pascaclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Senior Fullstack Developer","PT. Enam Dua Teknologi","Cilandak, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT SAP ABAP","PT Ultra Sakti","Jakarta Utara, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Lead","PT Rusky Aero Indonesia","Tangerang Selatan, Banten","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Planning & Policy Officer   (JS - IT PPO)","OTO Group","Jakarta Selatan, Jakarta Raya","","subClassification: ManajemenManajemenclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Operation Head / Administration Head","PT Transpacific Finance","Jawa Barat","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Acquisition Analyst","PT Link Net","Tangerang, Banten","","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Senior Product Owner","PT Kepoo Solusi Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Manajemen & Pengembangan ProdukManajemen & Pengembangan Produkclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Full Stack Web & App Developer","PT. Elit Solusi Niaga","Jakarta Selatan, Jakarta Raya","Rp 8,000,000 – Rp 10,000,000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Database Engineer (Oracle Certified)","PT Sisindokom Lintasbuana","Jakarta Pusat, Jakarta Raya","","subClassification: Pengembangan & Administrasi DatabasePengembangan & Administrasi Databaseclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"PHP Programmer","PT Square Gate One / ESPAY.ID","Tangerang, Banten","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT SECURITY SPECIALIST","PT. Metrocomjaddi Technology","Jakarta Selatan, Jakarta Raya","","subClassification: KeamananKeamananclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Junior Web Developer","PT Inovasi Mitra Sejati","Tangerang, Banten","","subClassification: Pengembangan & Produksi WebPengembangan & Produksi Webclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Network Engineer","PT Istidata Indopacific Solution Centre","Jawa Barat","Rp 5,000,000 – Rp 5,700,000 per month","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Administrasi - Tangerang","PT Exa Mitra Solusi","Tangerang, Banten","","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"IT Support/Helpdesk","PT Lintas Media Danawa","Depok, Jawa Barat","Rp 4,878,612 per month","subClassification: Meja Bantuan & Dukungan ITMeja Bantuan & Dukungan ITclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Product Specialist (Mandarin Speaker)","PT. ALPEN FOOD INDUSTRY","Jakarta Utara, Jakarta Raya","","subClassification: Manajemen & Pengembangan ProdukManajemen & Pengembangan Produkclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Product Analyst","PT. TEMAS TBK","Jakarta Utara, Jakarta Raya","","subClassification: Analis Bisnis/SistemAnalis Bisnis/Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Project Manager (Architecture Background)","Pulauintan Development","Jakarta Barat, Jakarta Raya","","subClassification: Manajemen Program & ProyekManajemen Program & Proyekclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"ADMIN GUDANG","PT Golden Flexible Packaging","Tangerang, Banten","Rp 4,000,000 – Rp 4,500,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Secretary for BOD","PT Guna Bakti Unggul","Tangerang, Banten","","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Back End Developer","PT Uniktif Media Indonesia","Jakarta Barat, Jakarta Raya","Rp 7,000,000 – Rp 10,000,000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Junior Angular Developer","PT. Wide Technologies Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"SAP MM SPECIALIST","PT BERLIAN DUTA ENERGI","Jakarta Barat, Jakarta Raya","Rp 10,000,000 – Rp 12,000,000 per month","subClassification: KonsultanKonsultanclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"SAP Support Manager","PT Mitra Solusi Telematika","Jakarta Selatan, Jakarta Raya","","subClassification: Pemimpin TimPemimpin Timclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Backend Developer","PT Pasifik Satelit Nusantara","Cikarang Selatan, Jawa Barat","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Java Developer","PT Lawencon Internasional","Jakarta Selatan, Jakarta Raya","","subClassification: Administrasi Jaringan & SistemAdministrasi Jaringan & Sistemclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Senior Angular Developer (Front End) Angular 2.0","","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Application Developer - Lippo Malls Indonesia","PT Lippo Malls Indonesia","Jakarta Barat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Presales Cloud","PT. Metrodata Electronics, Tbk","Jakarta Barat, Jakarta Raya","","subClassification: Penjualan – Pra & PascaPenjualan – Pra & Pascaclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Personal Assistant/Asisten pribadi","Dana Mickey Factory","Cibinong, Jawa Barat","Rp 6.000.000 – Rp 8.000.000 per month","subClassification: Asisten Pribadi, Asisten Eksekutif & SekretarialAsisten Pribadi, Asisten Eksekutif & Sekretarialclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Frontend Engineer (Flutter)","PT Nomura Research Institute Indonesia","Jakarta Pusat, Jakarta Raya","Rp 12,000,000 – Rp 18,000,000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Back End .Net Developer","PT Neo Fusion Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Programmer / Web Developer","PT Binabusana Internusa","Jakarta Pusat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Analis Laboratorium Jakarta (Contract based, 3 months)","Siloam Hospitals Group (Tbk)","Jakarta Pusat, Jakarta Raya","","subClassification: Manajemen Program & ProyekManajemen Program & Proyekclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Admin Produksi","PT Pandawa Jaya Steel","Tangerang, Banten","Rp 4,500,000 – Rp 5,000,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Head IT and IT Programmer","PT ANUGERAH SPECIA PRATAMA","Jakarta Pusat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Expert IT (Automation)","ASIA PULP AND PAPER","Karawang, Jawa Barat","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Technical Writer Internship","PT Cashlez Worldwide Indonesia","Jakarta Barat, Jakarta Raya","","subClassification: Penulisan TeknisPenulisan Teknisclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Korean Speaker","PT Sunindo KB Finance","Jakarta Pusat, Jakarta Raya","","subClassification: Administrasi Klien & PenjualanAdministrasi Klien & Penjualanclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Golang Back End Developer","PT IDStar Cipta Teknologi","Jakarta Selatan, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Translator Mandarin Speaker (Need 40 Vacancy)","PT ME TOO INTERNATIONAL","Jakarta Utara, Jakarta Raya","Rp 8,000,000 – Rp 12,000,000 per month","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Product Specialist AI","PT Informasi Teknologi Indonesia","Jakarta Selatan, Jakarta Raya","","subClassification: Manajemen & Pengembangan ProdukManajemen & Pengembangan Produkclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Salesforce Developer","Base Camp Recruitment Pte. Ltd.","Jakarta Pusat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Recorder (English Speaker)","PT.PUNINAR ANJI NYK LOGISTICS INDONESIA","Cikarang","IDR 5,000,000 - 6,000,000","subClassification: Asisten AdministratifAsisten Administratifclassification: Administrasi & Dukungan Perkantoran(Administrasi & Dukungan Perkantoran)"
"Odoo Developer","Inter Sistem Asia, PT.","Jakarta Selatan, Jakarta Raya","Rp 8,000,000 – Rp 12,000,000 per month","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"Programmer / Software Engineer","","Jakarta Barat, Jakarta Raya","","subClassification: Developer/ProgrammerDeveloper/Programmerclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
"IT Project Management Assistant Manager","Erajaya Group","Jakarta Barat, Jakarta Raya","","subClassification: Manajemen Program & ProyekManajemen Program & Proyekclassification: Teknologi Informasi & Komunikasi(Teknologi Informasi & Komunikasi)"
